country,year,section,total_words,negative_count,positive_count,negative_ratio,positive_ratio,net_sentiment,accession_year,chapter_number,closure_year,years_to_closure,years_to_accession
Latvia,1998,Chapter 9: Transport policy,278,1,6,3.5971223021582737,21.58273381294964,17.98561151079137,2004,9,2001.0,3.0,6
Latvia,1998,Chapter 10: Taxation,281,4,1,14.234875444839856,3.558718861209964,-10.676156583629892,2004,10,2002.0,4.0,6
Latvia,1998,Chapter 11: Economic and Monetary Union,35,0,1,0.0,28.57142857142857,28.57142857142857,2004,11,2000.0,2.0,6
Latvia,1998,Chapter 12: Statistics,127,2,3,15.748031496062993,23.62204724409449,7.874015748031496,2004,12,2000.0,2.0,6
Latvia,1998,Chapter 13: Social Policy and Employment,176,6,2,34.090909090909086,11.363636363636363,-22.727272727272723,2004,13,2001.0,3.0,6
Latvia,1998,Chapter 14: Energy,295,2,7,6.779661016949152,23.728813559322035,16.949152542372882,2004,14,2001.0,3.0,6
Latvia,1998,Chapter 15: Industry,323,4,7,12.38390092879257,21.671826625387,9.287925696594428,2004,15,2000.0,2.0,6
Latvia,1998,Chapter 16: Small and Medium Enterprises,55,0,1,0.0,18.18181818181818,18.18181818181818,2004,16,2000.0,2.0,6
Latvia,1998,Chapter 17: Science and research,56,0,1,0.0,17.857142857142858,17.857142857142858,2004,17,2000.0,2.0,6
Latvia,1998,Chapter 18: Education and Training,51,0,1,0.0,19.607843137254903,19.607843137254903,2004,18,2000.0,2.0,6
Latvia,1998,Chapter 19: Telecommunications and information technologies,187,3,1,16.0427807486631,5.347593582887701,-10.695187165775401,2004,19,2002.0,4.0,6
Latvia,1998,Chapter 20: Culture and audio-visual policy,89,0,1,0.0,11.235955056179774,11.235955056179774,2004,20,2001.0,3.0,6
Latvia,1998,Chapter 21: Regional Policy and co-ordination of structural instruments,225,3,5,13.333333333333334,22.22222222222222,8.888888888888888,2004,21,2002.0,4.0,6
Latvia,1998,Chapter 22: Environment,305,1,6,3.278688524590164,19.672131147540984,16.393442622950822,2004,22,2001.0,3.0,6
Latvia,1998,Chapter 23: Consumers and health protection,89,2,2,22.47191011235955,22.47191011235955,0.0,2004,23,2000.0,2.0,6
Latvia,1998,Chapter 24: Co-operation in the field of justice and home affairs,840,35,9,41.666666666666664,10.714285714285714,-30.95238095238095,2004,24,2002.0,4.0,6
Latvia,1998,Chapter 25: Customs union,229,1,0,4.366812227074235,0.0,-4.366812227074235,2004,25,2001.0,3.0,6
Latvia,1998,Chapter 26: External relations,509,4,1,7.858546168958742,1.9646365422396854,-5.893909626719056,2004,26,2000.0,2.0,6
Latvia,1998,Chapter 27: Common Foreign and Security Policy,305,1,3,3.278688524590164,9.836065573770492,6.557377049180328,2004,27,2000.0,2.0,6
Latvia,1998,Chapter 28: Financial Control,97,0,3,0.0,30.927835051546392,30.927835051546392,2004,28,2001.0,3.0,6
Latvia,1999,Chapter 1: Free movement of Goods,475,2,7,4.2105263157894735,14.736842105263158,10.526315789473685,2004,1,2001.0,2.0,5
Latvia,1999,Chapter 2: Free movement of Persons,47,0,0,0.0,0.0,0.0,2004,2,2001.0,2.0,5
Latvia,1999,Chapter 3: Freedom to provide services,391,11,5,28.132992327365727,12.78772378516624,-15.345268542199488,2004,3,2001.0,2.0,5
Latvia,1999,Chapter 4: Free movement of capital,111,0,0,0.0,0.0,0.0,2004,4,2001.0,2.0,5
Latvia,1999,Chapter 6: Competition policy,312,4,3,12.82051282051282,9.615384615384617,-3.2051282051282026,2004,6,2001.0,2.0,5
Latvia,1999,Chapter 7: Agriculture,844,14,15,16.587677725118485,17.77251184834123,1.1848341232227462,2004,7,2002.0,3.0,5
Latvia,1999,Chapter 8: Fisheries,190,1,1,5.263157894736842,5.263157894736842,0.0,2004,8,2001.0,2.0,5
Latvia,1999,Chapter 9: Transport policy,503,11,5,21.86878727634195,9.940357852882704,-11.928429423459248,2004,9,2001.0,2.0,5
Latvia,1999,Chapter 10: Taxation,217,3,1,13.82488479262673,4.608294930875576,-9.216589861751153,2004,10,2002.0,3.0,5
Latvia,1999,Chapter 11: Economic and Monetary Union,146,0,1,0.0,6.8493150684931505,6.8493150684931505,2004,11,2000.0,1.0,5
Latvia,1999,Chapter 12: Statistics,277,3,4,10.830324909747292,14.44043321299639,3.610108303249099,2004,12,2000.0,1.0,5
Latvia,1999,Chapter 13: Social Policy and Employment,380,17,8,44.73684210526316,21.052631578947366,-23.68421052631579,2004,13,2001.0,2.0,5
Latvia,1999,Chapter 14: Energy,538,6,11,11.152416356877323,20.44609665427509,9.293680297397769,2004,14,2001.0,2.0,5
Latvia,1999,Chapter 15: Industry,307,7,9,22.80130293159609,29.315960912052116,6.514657980456025,2004,15,2000.0,1.0,5
Latvia,1999,Chapter 16: Small and Medium Enterprises,138,0,1,0.0,7.246376811594203,7.246376811594203,2004,16,2000.0,1.0,5
Latvia,1999,Chapter 17: Science and research,117,1,1,8.547008547008549,8.547008547008549,0.0,2004,17,2000.0,1.0,5
Latvia,1999,Chapter 18: Education and Training,115,0,1,0.0,8.695652173913043,8.695652173913043,2004,18,2000.0,1.0,5
Latvia,1999,Chapter 19: Telecommunications and information technologies,324,4,3,12.345679012345679,9.25925925925926,-3.0864197530864192,2004,19,2002.0,3.0,5
Latvia,1999,Chapter 20: Culture and audio-visual policy,153,5,4,32.67973856209151,26.143790849673202,-6.535947712418306,2004,20,2001.0,2.0,5
Latvia,1999,Chapter 21: Regional Policy and co-ordination of structural instruments,364,1,4,2.7472527472527473,10.989010989010989,8.241758241758241,2004,21,2002.0,3.0,5
Latvia,1999,Chapter 22: Environment,955,16,18,16.753926701570684,18.848167539267017,2.094240837696333,2004,22,2001.0,2.0,5
Latvia,1999,Chapter 23: Consumers and health protection,143,2,1,13.986013986013987,6.993006993006993,-6.993006993006993,2004,23,2000.0,1.0,5
Latvia,1999,Chapter 24: Co-operation in the field of justice and home affairs,1084,35,17,32.28782287822878,15.682656826568264,-16.605166051660518,2004,24,2002.0,3.0,5
Latvia,1999,Chapter 25: Customs union,267,3,1,11.235955056179774,3.745318352059925,-7.490636704119849,2004,25,2001.0,2.0,5
Latvia,1999,Chapter 26: External relations,592,5,3,8.445945945945946,5.0675675675675675,-3.378378378378378,2004,26,2000.0,1.0,5
Latvia,1999,Chapter 27: Common Foreign and Security Policy,246,3,2,12.195121951219512,8.130081300813009,-4.0650406504065035,2004,27,2000.0,1.0,5
Latvia,1999,Chapter 28: Financial Control,203,3,0,14.778325123152708,0.0,-14.778325123152708,2004,28,2001.0,2.0,5
